abreviation,name1,name2
aa,Australopithecus africanus,A. africanus
aae,Australopithecus aethiopicus,A. aethiopicus
ab,Australopithecus boisei,A. boisei
af,Australopithecus afarensis,A. afarensis
ag,Australopithecus garhi,A. garhi
ahs,Archaic Homo sapiens,Archaic Homo sapiens
ar,Australopithecus robustus,A. robustus
h,Homo,Homo
he,Homo erectus,Homo erectus
herg,Homo ergaster,Homo ergaster
hh,Homo habilis,Homo habilis
hhei,Homo heidelbergensis,H. heidelbergensis
hrud,Homo rudolphensis,Homo rudolphensis
hs,Homo sapiens,Homo sapiens
n,Neandertal,Neandertal
par,Paranthropus robustus,Paranthropus robustus
pe,Pithecanthropus erectus,Pithecanthropus erectus
ples transv,Plesianthropus transvaalensis,Plesianthropus transvaalensis
pr,Pithecanthropus robustus,Pithecanthropus robustus
sin pek,Sinanthropus pekinensis,Sinanthropus pekinensis
